 --planet list--
Orbital Eccentricity	Perihelion (106 km)	Diameter (km)	Rotation Period (hours)	name	Orbital Velocity (km/s)	Density (kg/m3)	Orbital Inclination (degrees)	Distance from Sun (106 km)	Obliquity to Orbit (degrees)	Ring System?	Surface Pressure (bars)	Number of Moons	Global Magnetic Field?	Mean Temperature (C)	Orbital Period (days)	Aphelion (106 km)	Gravity (m/s2)	Mass (1024kg)	Length of Day (hours)	Escape Velocity (km/s)
Methone	Saturn	3	1.01	28	1.6±0.6	0.5		?
Tarvos	Saturn	16	925.7	54	7.5	2.3		0.06
Atlas	Saturn	37 X 27	0.602	3	15.1±1.2	0.460±0.110	[54]	0.4
Skoll	Saturn	6	878.3	42	3	2.3		0.04
Pan	Saturn	19.32	0.575	34	14.1±1.3	0.420±0.150	[54]	0.5
Kiviuq	Saturn	17	449.22	26	8	2.3		0.06
Loge	Saturn	6	1,312.00	27	3	2.3		0.04
Ijiraq	Saturn	14	451.48	22	6	2.3		0.06
Bebhionn	Saturn	6	834.8	4	3	2.3		0.04
Fornjot	Saturn	6	1,490.90	15	3	2.3		0.04
Polydeuces	Saturn	4	2.74	37	1.3±0.4	0.5		?
Prometheus	Saturn	148 X 68	0.613	38	43.1±2.7	0.480±0.090	[54]	0.6
Anthe	Saturn	1	1.04	2	0.9	0.5		?
Farbauti	Saturn	5	1,086.10	13	2.5	2.3		0.04
Tarqeq	Saturn	7	887.5	53	3	2.3		0.04
Greip	Saturn	6	921.2	16	3	2.3		0.04
Helene	Saturn	36 X 28	2.737	18	17.6±0.4	0.5		1.67±0.20
Calypso	Saturn	30 X 16	1.888	7	10.7±0.7	0.5		1.34±0.10
Fenrir	Saturn	4	1,260.30	14	2	2.3		0.04
Pallene	Saturn	4	1.14	33	2.5±0.6	0.5		?
Thrymr	Saturn	7	1088.89	57	3.5	2.3		0.06
Paaliaq	Saturn	25	686.92	32	11	2.3		0.06
Rhea	Saturn	1528	4.518	39	764.30±1.10	1.233±0.005	[27]	0.949±0.003
